QID,Brand,Model,Question,Dialogue,Report,,,,,,,
Q74293,别克,昂科拉,别克昂科拉2015都市精英版，今天突然出现防滑标志和ABS同时出现，不知是怎么回事？到修车店消掉了，又出现。,技师说：可能是轮速传感器故障引起的，需要检查轮速传感器线路。,可能是轮速传感器故障引起的，需要检查轮速传感器的线路是否正常,,,,,,,
Q62798,大众,捷达,刚买的大众新款捷达，那天不注意，顾接电话了，一档么挂进去，结果听到发动机传来稀里哗啦的卡卡声   这样会不会损坏变速箱？希望有人能帮,技师说：你好，这是没有挂进档位打齿的声音，不容易损坏变速器齿轮，只有挂倒档打齿多了才容易损坏倒档齿轮|车主说：谢谢,齿轮不太容易打坏,,,,,,,
Q4851,大众,朗逸,你好，我的车忘了关日间行车灯，结果电瓶没电了。用别人的车打着以后跑了两百公里。请问电瓶没电了对电脑系统有影响吗？还有长期停放需要拆电瓶负极吗？,技师说：你好，这个不影响的，只要启动了充电然后熄火，还可以启动，这个没问题，长期不用一个星期启动一次，预热几分钟，或者拆了电瓶都可以|车主说：好的谢谢您！|技师说：没事,启动了。充了电能启动没问题，对电脑不影响，一两次不影响电瓶,,,,,,,
Q3068,奔驰,奔驰C级,奔驰C300    15年GPS定位系统报故障码短路,技师说：[语音],随时联系,,,,,,,
Q55217,奥迪,奥迪A6L,求07年奥迪a6l2.0 机油底座图片 要装在车上未拆下来的 各个角度谢谢,技师说：你好！你是打算更换机油滤芯底座,你好，是要换机油滤芯底座总成把，需要把防冻放了，这个没有固定的安装角度，直接拆卸和安装,,,,,,,
Q4204,华泰,宝利格,为什么高压油泵没有给高压共轨油，华泰圣达菲。，我打开后邮箱一看有两个油泵，小的不能用，大的还行,技师说：你好，低压油泵，有没有供油？|车主说：这个小的是低压油泵，是吧？这个好像是电板不行了，然后我刚才直接跨界也不行。|车主说：现在就是高压不给高压共轨给油。，用车托速度快，可以拖着，但是怠速不稳。，用启动马达打是打不着。|车主说：[图片]|车主说：这个东西是干啥用的？好像是个吸的作用。|技师说：你拍个清楚的我看一下，是不是这个东西卸压|车主说：这个东西刚好跟小的大的中间这个。这个拆不下来，只能说拍张照片，看一看。|技师说：这个是柴油压力不够。|车主说：[语音]|车主说：[语音]|车主说：[语音]|技师说：你打开钥匙启动的时候，这个小油泵是否供油？|车主说：[语音]|车主说：[语音]|车主说：[语音]|技师说：他这个一个是主油箱，一个是副油箱。|车主说：[语音]|车主说：[语音]|技师说：中间的那个东西好像是个真空的，如果主油箱缺油了，他能从副油箱提供油。|车主说：[语音]|车主说：[语音]|车主说：[语音]|车主说：？|技师说：不好意思，刚才太忙了。|技师说：是的|车主说：那我现在该怎么搞？|技师说：你现在是不是高压泵不往油轨里面供油。|车主说：是倒是的。|技师说：你说的电脑版是什么情况？|技师说：是不是线路被烧坏了？|车主说：[语音]|车主说：没有，电脑板检测过，都是好的。|技师说：哦|技师说：你启动的时候从那个邮箱到那个高压油泵之前有没有油？|车主说：之前室友有。|技师说：你这个邮箱里面没有油泵，是靠高压大泵通过发动机加压供油的。|技师说：之前有油，现在没有油，怎么情况？|技师说：你的车子有手油泵吗？|车主说：[语音]|车主说：[语音]|技师说：大泵上有没有回油管|车主说：[语音]|技师说：高压泵。|车主说：[语音]|车主说：[语音]|技师说：你看一下回油管上的卸压阀是否坏了？会不会卸压|车主说：[语音]|技师说：就是那个螺丝，他就是一个卸压阀里面有个顶针。|车主说：[语音]|技师说：回油管的|车主说：[语音]|技师说：就是那个螺丝就是一个卸压阀|车主说：[语音]|技师说：上高压泵上的那个回油螺丝。|车主说：[图片]|车主说：[图片]|技师说：看不清楚什么|车主说：[语音]|技师说：油泵上回油管的螺丝|车主说：[语音]|技师说：就是那个螺丝就是的|车主说：[语音]|车主说：[语音]|车主说：[语音]|技师说：这个还是有可能是卸压，我再帮你想一下，这款车修的不是太多。|车主说：那就麻烦你给问一下，我晚上也在好好想一想，麻烦你了|技师说：好的|车主说：还是不行|技师说：不好意思，你上午太忙了。问题怎么样了？你堵住回油管看一下，能不能打火？|车主说：[语音]|车主说：[语音]|技师说：通在油轨上的那个是进油管。另一根是回油管。|车主说：[图片]|车主说：[图片]|技师说：还有一根管路吗？|车主说：[语音]|技师说：你就发了两个图片，一个管路啊。|车主说：[图片]|车主说：[图片]|车主说：[语音]|技师说：你最底下那个照片是进油的。,你好，这个检查一下回油管有个单向阀，是否卸压。高压泵是靠压力发动机运转加压供油的。,,,,,,,
Q12486,本田,本田CR-V,安装车载指纹识别锁对车子有影响吗？,技师说：你好，对车子是有影响的，后期可能有故障，车子会打不着火，或者是漏电|车主说：把线接好  应该没事吧,最好不要接，后期故障率高,,,,,,,
Q59921,起亚,智跑,我问一下，多长时间更换电瓶，什么牌子的电瓶适合起亚智跑,技师说：你好，正常情况下，车辆电瓶的使用寿命在3到4年左右，车辆电瓶的寿命和你平常使用车的频率有很大的关系，如果车辆平常使用的频率比较多的话，车辆电瓶的寿命相对要长一些。比较适合起亚智跑的电瓶可以选择，瓦尔塔或者博世|车主说：怎样鉴别电瓶真伪？瓦尔塔70电瓶多少钱？|技师说：现在电瓶都有质保的，一般都是保一年左右。在正规的实体店更换就可以。以旧换新的话，电瓶的市场价格在600左右。|车主说：车的轮胎也想换，不知道智跑适合什么品牌的轮胎？谢谢！|技师说：肯定是大品牌的要好一些，米其林，德国马牌,车辆电瓶的使用寿命在3到4年左右，车辆电瓶的寿命和你平常使用车的频率有很大的关系，如果车辆平常使用的频率比较多的话，车辆电瓶的寿命相对要长一些。比较适合起亚智跑的电瓶可以选择，瓦尔塔或者博世,,,,,,,
Q18687,起亚,索兰托,大师你好！我的车是13款汽油索兰托，现在速度超过100加油没劲，这是为什么？,技师说：检查汽油滤芯，三元催化，火花塞|车主说：三元催化换了    火花塞也检查了    喷油嘴节气门也洗了   发动机燃烧室也洗了|技师说：做了这么多都没有效果？|车主说：现在就是发动机转速可以踩上去    但是车不往前蹿|车主说：然后    变速箱油也换了|技师说：汽油滤芯换了吗|车主说：没有     听我朋友说这个车的汽油滤芯一般不会出问题    说是要换的话就换碳罐|技师说：跟碳罐关系不大|技师说：换汽油滤芯吧|技师说：车辆悬空能跑起来吗|车主说：是这样     车子比如跑到80迈     我猛加油    转速一下到五千多     但是车你往前蹿     以前不是这样|车主说：车辆悬空没试|车主说：车不往前蹿|技师说：考虑供油系统吧|车主说：这个跟变速箱关系大不大？|技师说：建议悬空跑试试|技师说：这样就不受车辆自身重量|车主说：如果说悬空可以跑起来呢？|技师说：汽油滤芯，汽油泵|车主说：那么   跑不起来呢？|技师说：变速箱|车主说：好的    谢谢你！  完了我去试试|车主说：我关注你了    以后有问题还可以找你吗？|技师说：可以|技师说：先考虑汽油滤芯,建议更换汽油滤芯，测量汽油压力,,,,,,,
Q63409,奥迪,奥迪Q5,奥迪q5三万公里需要保养什么，2万公里换过火花塞，可以不在4s保养吗,技师说：你好，更换机油，机滤，空滤，检查胎压，防冻液够不够，同时清洗节气门， 可以不用去4s，外面大一点的修理厂保养也是没问题的,你好。更换机油，机滤。空滤，清洗节气门，检查胎压，防冻液够不够，灯光有没有损坏的，可以不用去4s，外面大一点的修理厂保养也是没问题,,,,,,,
Q81033,别克,君威,新君威机油滤芯底座漏油怎么处理，换新的还是不行,技师说：换了机滤塑料座还是一样吗？是原厂配件吗！|车主说：原厂配件|车主说：这个是不是要拧不动为止|技师说：从旁边密封圈漏油吗？？|技师说：是的。|车主说：嗯|车主说：就是底座边缘|技师说：盖子拧紧了吗？|车主说：盖子漏时候我用扳手拧那个底座还可以往前拧动一点|车主说：刚才拧紧后还没有检查|技师说：先清洗干净，再起动看一下。|车主说：在吗|技师说：在的，。|车主说：这个有没有大问题啊|技师说：不是大问题，。|车主说：怎么解决|技师说：还会渗油吗？|车主说：跑了几公里检查没有油出来|技师说：再跑一段时候看。|车主说：跑了还会有油出来吗|车主说：如果还渗怎么解决|技师说：拧紧了应该不会。。|技师说：还会渗油再更换密封圈。。,检查机油滤芯是否没有安装到位，建议先清洗再观察一段时间,,,,,,,
Q37561,别克,君威,故障码p0016和p0017 一定是正时链条出问题吗 还有其他情况吗,技师说：这个故障码是曲轴位置信号与凸轮轴位置信号进行测量与电脑内部计算的标准信号进行比较算出来曲轴与凸轮轴之间的角度存在异常。也就是正时不对了|技师说：这个故障一种是机械部件确实存在错误另一种就是凸轮轴传感器或者传感器信号盘有问题造成的|车主说：要拆开发动机检查吗|车主说：是不是很严重的问题？ 在苏州有哪些修理厂可以搞定？|技师说：[语音]|车主说：这个故障会有什么影响吗想过段时间再去修理|技师说：如果严重的话。可能会出现打不着火的情况。 短期应该不会有问题,这个故障码有两个大的可能性。第一正时存在偏差。第二正时信号盘。包括凸轮轴信号盘异常造成的故障码。建议重点检查车辆的正时是否存在偏差。此故障码在短期是不会出现大问题的,,,,,,,
Q67052,长安欧尚,睿行M80,早上起车时候熄火，给油就灭火。车开起来什么毛病也没有。,技师说：用电脑检测过没|车主说：没有啊|技师说：最近加汽油没|技师说：新加|车主说：昨天才有的毛病，车停时间长了再起车就这样|车主说：前天刚加满的一箱油|技师说：建议你检查下汽油压力|车主说：我这是油气车|技师说：用油的气候感觉咋样|车主说：都正常|车主说：[语音]|车主说：[语音]|车主说：[语音]|技师说：看下发动机，积碳，在检测下汽油压力|车主说：[语音]|车主说：[语音]|技师说：修理厂，或4's店，都可以|车主说：可能是气门的事吗|技师说：节气门脏有可能，和气门应该没关,建议检查下汽油压力，和结气门开度,,,,,,,
Q65829,MINI,MINI,15年的mini one 1.2T没有空气流量计吗？官方etk图示和实际不一样啊。,技师说：1.2t例外|技师说：1.5t才有|技师说：都是b38，排量不同而已，并且1.2的没有电子气门|车主说：1.2t就是没有空气流量计了？那靠什么收集进气数据啊？|技师说：进气压力|技师说：[图片]|车主说：[图片]|技师说：这是节前|技师说：测增压的|车主说：节气门前的这个传感器也是进气压力吗？|技师说：叫增压压力传感器|车主说：哦哦，所以这车报空燃比浓可能是哪方面的故障呢？|技师说：稀吧？|车主说：怠速易熄火|技师说：偶发？|车主说：浓|车主说：经常怠速熄火，仅近期报一次空燃比浓故障码|技师说：浓换气门室盖子和碳罐电磁阀|技师说：车架号给我|车主说：wmwxn7102f3a30440|车主说：前氧数据有些异常|技师说：怎么异常|技师说：发我|车主说：[图片]|车主说：后氧|技师说：不看报告|技师说：看怠速数据流|技师说：报告没用|车主说：没拍照…|技师说：你是车主还是修理工|车主说：车主|技师说：去ssss|技师说：2月15号过保修|技师说：抓紧去吧|技师说：[图片]|技师说：[图片]|车主说：图一投诉是什么日期的？|技师说：都是17年下半年的|车主说：…上次去还说读不出故障码。|车主说：还告诉我加92试试|技师说：你现在不是有码了吗|车主说：嗯，谢谢了,1.2T不用空流计，用进气压力传感器。,,,,,,,
Q9801,标致,标致207,标致207，为这个二档加速三四十码时，从脚底下传来摇晃感这个问题已经多方求助。到现在为止，已经更换左右半轴总成，四个新轮胎，两个新钢圈，至今还未解决。万能的大师，请求您们的帮助,技师说：你好，车辆右前半轴的过桥轴承，有没有检查？然后重点检查一下发动机和变速箱的固定机脚垫是否有老化的现象。|车主说：机脚胶去年换的|车主说：过桥轴承是什么，在哪里啊|技师说：右前半轴位置，有一个固定架|车主说：那如果有问题，这次更换半轴总成的时候，修车师傅应该会提醒我吧|技师说：你这种情况我遇到过类似的，上次那个车是右前半轴坏了，还有一个车是车辆的下支臂球头旷量太大。|车主说：两边的下支臂在不同时间都更换过，时间也不长|车主说：师傅检查说还好|车主说：您说的过桥轴承是不是那个变速箱机脚啊|技师说：那就不好说了，毕竟只是分析，不是现场试车判断,你好，车辆右前半轴的过桥轴承，有没有检查？然后重点检查一下发动机和变速箱的固定机脚垫是否有老化的现象。,,,,,,,
Q59880,北汽幻速,北汽幻速S6,各位大师，汽车亏电后充满电中控屏打不开了，怎么打开，谢谢,技师说：你好，显示屏不亮灯吗？检查一下保险是否烧灼|车主说：没有亮，在那里检查保险|技师说：方向盘下方，仪表盘内侧有个保险盒，看一下|车主说：功能都能用，就是不显示|技师说：收音机都能用？|车主说：不能，空调能打开|技师说：那就是保险丝烧灼了|车主说：以前没电时用别人车搭过电|车主说：[图片]|车主说：[图片]|车主说：应该按那个键打开|车主说：谢谢|车主说：能帮忙看下吗|技师说：左下角这个不是开关键吗|车主说：谢谢|技师说：不客气，如有其他问题欢迎随时咨询，感谢您对汽车大师的支持，祝您用车愉快,左下角那个就是电源键，有标识的,,,,,,,
Q62030,本田,思迪,你好大师们，问一下我十年的车了最近发现冬天冷车启动变速箱有异响，离合器踩下去就不响或者稍微开个几分钟也不响了，气温稍微高一点的时候也没这个情况,技师说：请问什么时候出现的|车主说：就前段时间特冷的时候发现的，以前没注意过，夏天根本没有这情况，只有冬天特冷的时候会有|技师说：看看分离轴承是不是有问题了，天凉导致分离轴承上的油变硬了，导致响，跑一会温度起来了声音就小了所以听不见|车主说：那就是要拆变速箱咯，修车师傅都能看出来吗|技师说：修理师傅也是听，听完确定是分离轴承了就是拆变速箱更换|车主说：关键是我每次去看的时候都是热车没声音的呢！这个算大问题吗？|技师说：不算的没事，就是凉车的时候响的麻烦，和轴承是一个性质|技师说：除非是变速箱里面有问题，但是现在既然热车听不出来应该没有多大问题，什么时候热车也开始响了能听出来了在换就行|技师说：变速箱油记得每隔四万换上一次|车主说：就是前几天响，我去换了油的，那几天气温高一点修车师傅听了半天说没问题，今天有点冷发动起来怠速热车时又听到了|车主说：以后换下三件套能解决问题吗|技师说：那应该没事的，等热车也开始响的时候在判断更换就好|技师说：如果是分离轴承有问题单独换就好，不需要换三件套，除非是离合器摩擦片也不行了|车主说：如果是变速箱问题的话是不是就麻烦了呀|技师说：嗯，但是要是变速箱油勤换好的话轻易没事的变速箱|车主说：这个可以暂时不管它吗，不影响开的吧|技师说：暂时没有影响的，您放心跑就好|车主说：谢谢了|技师说：没事的您客气了,介意在跑跑，可能是分离轴承想的概率比较大，介意响声大了以后判断哪块响在更换比较好,,,,,,,
Q33349,大众,途观,火花塞要多少公里更换 ,技师说：您好，厂家建议两万公里更换一回，一般三万公里更换一回就可以。,您好，每两万公里更换一回。,,,,,,,
Q76042,斯柯达,Yeti,车遥控钥匙失灵，拔掉钥匙导航和仪表不断电，只能用机械钥匙锁车开车，这是哪里出了故障？,技师说：两个方面的问题一个是点火锁芯，一个是遥控器需要从新匹配，具体的需要到4s.店检查确认一下，先匹配遥控器。|车主说：已经去4s店匹配过还是不行，要说的是我自己改装了定速巡航和多功能方向盘，这对遥控有影响吗？老师|车主说：咨询了厂家  说是不是长时间按了开锁键，导致钥匙自我保护，但是我按照他们说的方法做了 还是不行|技师说：有影响|技师说：你可以先拆除加装的|车主说：加装的把编码改回去就失灵了  钥匙还是不能用  改好编码 加装的功能都能用|技师说：有可能行车电脑坏了,根据沟通情况，有可能行车电脑坏了。重点先检查点火锁。,,,,,,,
Q51007,大众,一汽-大众CC,大众cc车子买了4年跑了35000公里，上次去保养后才跑了2700公里今天检查机油已经低于最底线了。这怎么办这属于正常烧机油吗,技师说：你好，这个车的发动机实际的机油消耗量是要大一些，也可能保养的时候没有加到最高线，这个车加机油得4.8升左右才行|车主说：那这跑了2600公里都最低线了是不是烧机油严重|技师说：实际最低到最高线也就在一升机油左右，也不算很严重|车主说：没事吗|车主说：4s店索赔吗|技师说：在质保可以去做机油称重测试，标准是一千公里0.5升的消耗量，超过了都可以索赔，现在的方法是更换改进型活塞|车主说：我的车子过保了|车主说：四年了|技师说：那就先使用观察吧，自费就没有什么必要处理了|车主说：好的|车主说：我要不要后备箱备点机油|技师说：很有必要备点机油|车主说：车子机油到最低线后还可以跑几公里|技师说：只要仪表上不亮机油灯都可以行驶|车主说：亮灯后就不能跑了吗|技师说：对的，亮机油压力灯就必须加机油|车主说：好的|车主说：一般保养过为什么会剩下半桶机油|车主说：难道我买的5升用不完|技师说：用不完，只加4升多|车主说：那我就留剩下的机油就可以了吗，要不要再买一瓶|技师说：多买一瓶吧，本身剩不了多少|车主说：才跑35000公里就开始烧机油这么严重正常吗|车主说：感觉心塞|车主说：别人都是八九万公里才开始烧机油|技师说：这款发动机消耗机油的是比较多|车主说：那我什么时候保养合适|车主说：保养都是半年一次|车主说：机油灯一亮公里数和保养时间都没到难道我就要去保养吗|车主说：三四个月机油就少了难道我要提前去保养？|技师说：正常按公里数做就行，缺了补加就行|车主说：好的|车主说：那以后只要报警灯亮我再补加怎么样，要不要过一段时间看看油标尺|技师说：可以报警再加|车主说：不会损坏发动机吗|技师说：不会的|车主说：好的|车主说：我怀疑是不是发动机或者什么漏油|技师说：不排除这种可能，但几率很小,缺机油补加就行，这个消耗大了必须添加才行,,,,,,,
Q19967,本田,飞度,05年飞度电子方向没有助力什么原因,技师说：根据故障代码是扭矩传感器，这个集成在方向电机里面的吧。|技师说：总成件|车主说：总成换过的|车主说：[图片]|车主说：[图片]|技师说：插头烂了|技师说：？|技师说：看看扭矩传感器插头|车主说：是接触不好吗|车主说：电机的两根线是12v吗|车主说：以前不是在这里修的|技师说：嗯，看故障码像|车主说：我测量了下电机没有电过来|技师说：电机是12伏的，但是电脑有了故障不输出扭矩|车主说：哦|车主说：打开转向灯不亮，打开危险灯亮|车主说：是什么原因|技师说：什么亮|技师说：转向灯的保险和转向开关|车主说：[图片]|车主说：没打转向也会闪|技师说：把转向开关拆了,这个没有助力，还是检查那个转向助力传感器，扭矩传感器。这个传感器不准，转向那个电脑会不输出，扭距的。,,,,,,,
Q74549,大众,迈腾(进口),开了四年的车，最近几个月发现车子在30迈左右的速度时感觉到前轮像方形的轮胎似的，款机框几的顿感，加油就没了，而且高速行驶中有点嗡嗡的轰声，维修师傅看了轮胎、减震间隙、动平衡都是好的，请大师指点？谢谢！,技师说：这样需要检查左右半轴，看一下间隙是不是大了。或者不平衡|车主说：这个查过了，师傅说很好！|技师说：更换左右半轴试一下|车主说：这个只能试，不好确定吧？|技师说：嗯。|技师说：找车兑换试一下|车主说：还有其他可能吗？昨天师傅怀疑是铸成有问题？|技师说：其他就是轮胎失圆，钢圈变形|车主说：轮胎和钢圈都检查过|技师说：也要进行互换试一下|车主说：你说的半珠也就是铸成吧？|技师说：？？|车主说：左右半轴|车主说：左右半轴是不是就是师傅昨天说的轴承？|技师说：不是的|技师说：传动轴|车主说：好的，谢谢你！哪天更换一下试下！|车主说：这个问题再拖一段时间是不是就好发现了？|车主说：维修师傅是这么建议的。|技师说：嗯|车主说：先开段时间再看看，谢谢你！|技师说：不客气,根据你的描述，首先需要排除钢圈以及轮胎的问题，然后建议更换半轴试一下。,,,,,,,
Q57736,奥迪,奥迪A3,奥迪a3 1.8t。改装阀门4出排气。中段直通尾段阀门。。现在的问题是。尾段阀门关闭为静音但是起步时方向盘震，有点像动力不足。走起来之后就不振了。尾段阀门打开，中尾直通时震动就消失了。。尾段一个大消音鼓，消音通道管径51。。直通管径63，中段管径60。已知，排气改为直通会损失低扭。为什么静音有回压的时候会出现方向盘震类似动力不足情况而直排就不会出现。。震动特别像手动挡车离合没踩好那种震动。。是因为回压路径排气不通畅导致还是什么原因呢？（关阀门静音时候感觉加速慢，转速上的慢。。不知道是不是心里作用没有实际测。）尾段排气为一个消音鼓，4出排气。2个阀门管两个直通关阀门为排气走消音鼓路径。直排尾段管径63（两个），消音尾段路径51（两个）。。。。是关阀门排气不通畅导致还是管径小？,技师说：你好！这种改起来效果不好，要改后面带双消声音效果好很多。|车主说：为什么？？？能说下我的问题是怎么导致的吗？|车主说：你好？|技师说：[语音]|技师说：[图片]|技师说：[图片]|技师说：[语音]|车主说：语音听不到啊。。。我知道你说的两个消音的那种。。。但是我不能再换了。我就是想知道我这个现在有什么解决方案。是什么导致的|技师说：[图片]|技师说：把中间封住，把两边加管，一分为二，这种方案比你这种要好。你这种容易产生回气。导致无力。|车主说：谢谢。。|车主说：管径用改变吗|车主说：什么是回气？我那种震动是什么原因产生的？|技师说：废气内回|车主说：最好的解决方案就是中间分隔？|技师说：你已经改成这样了，那是没有办法解决方案，兄弟只能这样了。,分析与建议:改装车辆时，首先要找到适合自己车辆的解决方案，不然钱??花了没有得到很好的解决。,,,,,,,
Q40617,哈弗,哈弗H6,哈弗H6  18款 手机互联 怎么联不上,技师说：你好，检查手机数据线怎样，手机型号是否符合标准|技师说：或者'咨询服务店，车机是否需要升级|车主说：我看看,车机手机互联问题，检查手机型号是否符合标准，数据线是否原厂线，此外是车机软件是否可以。,,,,,,,
Q61297,吉利汽车,帝豪,问你个问题，车子冷车打火，怠速从1200转回落到800转左右，然后车子就有一点抖，大概持续15秒左右，就稳定了，十月份提车时没这个事，到十二月份左右就有了，这个月八号去做首保，什么问题？,技师说：像这种情况，电控车是根据水温传感器来控制，当前找车时的转速，温度越低，启动着车以后，这个转速越高。着了车以后，再根据当前发动机的水温控制当前的这个转速，如果车的温度比较低，这个高转速会持续运行一段时间，然后逐渐的降到规定的转速。像这种情况是属于正常的。|车主说：谢谢 大神，！|技师说：不客气！祝您用车愉快！,属于正常的，因为刚到车以后，为了防止发动机产生抖动，转速特别高，然后着了车以后，再根据当前的这个传感器工作的状况，调整到最佳的怠速。,,,,,,,
Q79213,现代,朗动,师傅，为什么我这车油耗不会掉，刚买的跑了八千公里了，保养了一次，油耗还是8个油，有点偏高,技师说：新车油耗高很正常的，油耗与路况天气等都有关系的|车主说：为什么新车油耗高，路况都差不多一样的|技师说：新车汽车零部件的磨合还没达到很好的运行状态，所以油耗偏高|车主说：跑了8千公里了|技师说：只要油耗相差不是太大，都没有问题的。|车主说：那我朋友的车跟我一个他跑怎么只有6个油耗|车主说：还有新车保养用半合成还是用合成机油好|车主说：保养一般主要保那几个部位|技师说：常规保养就是更换机油机滤的，建议，使用全合成机油对发动机保护更好。,新车油耗比较高很正常的然后油耗是慢慢地下降的不是说你保养之后他就下降了,,,,,,,
Q17756,日产,逍客,逍客自动挡五年车，每天早上启动车辆行驶一段距离后，右前轮附近都会有噔噔噔几声响，之后就一切正常。,技师说：有可能刹车分泵回位慢，建议拆下来检查一下，同时打磨一下刹车片。|车主说：直线行驶，没踩刹车就响，响几声就不响了|车主说：之后就正常了|车主说：再放几个小时还这样|技师说：按照我说的试一下|车主说：好，谢谢|车主说：四个都检查吗，还是就检查右轮|技师说：先检查右前轮|车主说：这个响声和abs没关系吧，用检查abs泵吗|技师说：不用检查ABS泵，检查一下右前轮ABS传感器看一下脏不脏|车主说：好|技师说：感谢打赏,首先建议打磨一下刹车片，，检查清洗一下ABS传感器。,,,,,,,
Q32648,奥迪,奥迪A7,电子风扇不转。感觉水温还上的慢，请问这是什么原因,技师说：需要检查一下电子水泵和风扇控制模块是否有问题|车主说：水泵的故障可以清除掉|车主说：就是风扇的清除不了。|技师说：看看风扇控制模块吧|车主说：好的,需要检查一下风扇控制模块是否存在故障,,,,,,,
Q70581,本田,雅阁,我这是九代雅阁14年的车，跑了四万五千公里。上周才换的四条倍耐力p7轮胎。车现在高速一上120方向盘抖动。这是什么情况,技师说：这个需要做一下四轮定位。|技师说：主要是底盘前束不正确了|车主说：才做的四轮定位|技师说：更换轮子之前有没有这种现象？|技师说：可以调换一下四个轮子，看看。|车主说：以前没有他就说要做个前束,这个需要做一下四轮定位就可以了。主要是底盘前束的数据不正确了。,,,,,,,
Q3765,大众,帕萨特,左右高度调节器是否为一次性，拆除安全带后就报废了,技师说：你好！不是一次性的  安装是否到位  卡进去的|车主说：也就是说换安全带可以不更换高度调节器是吧|车主说：安全带因为撞击已经损坏，会不会导致高度调节器一起损坏|技师说：调节器不会损坏的|技师说：这个是没有安装到位造成的|车主说：好的，谢谢|技师说：不用客气的|技师说：拆掉从新装一下,这个为没有安装到位造成  需要从新校对安装,,,,,,,
Q78110,雪铁龙,C4世嘉,我的车现在一年，一万四千公里，低速行驶的时候，比如五码左右的时候能听到一种咻咻咻的声音。但也不是很明显。只能感觉出是从底盘发出来的，请问这是怎么回事呢？,技师说：你的车是手动挡的还是自动挡的？|技师说：这种声音有两种可能性。如果说自动挡的话，可能是变速箱油液流动的声音。|技师说：还有个可能就是皮带转动摩擦的声音。|车主说：手动挡的，感觉像是车轮子里传出的|技师说：如果说是车轮那传出来的声音，他就是刹车片摩擦的声音。这个没有什么影响,根据你的描述。你这声音好像是刹车片摩擦。先打磨下刹车片试试吧。,,,,,,,
Q51213,本田,雅阁,08年雅阁打不着，匹配不到钥匙，钥匙是好的,技师说：请问你这个故障是怎么出现的？建议你先检查线路。|车主说：电脑版进水了|技师说：这种情况先把电脑搬出来一下，看能用不能用，不能用，要换了。,这种情况只能先把电脑修复一下，确保线路没问题，再看看。如果电脑线路有问题，这种情况肯定不能启动的，钥匙也无法匹配的。,,,,,,,
Q38108,宝骏,宝骏730,你好，今天我开宝骏730把别人车刮了，我的责任，请问要换哪些地方？维修费大概多少？（启辰R50   ）4S店和修理厂价格都报下，谢谢,技师说：你好，有保险，报保险就可以的|技师说：看照片一个杠，工料一千左右。外面小店，五六百的。,车子事故，需要去专业服务店维修，质量，配件有保障的。,,,,,,,
Q32080,长安,长安CS75,长安CS75传动皮带和正时皮带多久换一次,技师说：你好。发电机皮带一般是10万公里，没有异响，老化，破损一般是不用更换，正时皮带7-8万公里准时更换一次|车主说：每次保养一桶机油不够，难道要买两桶|技师说：可以买一升装的|车主说：总的是要4.5升的吗|技师说：对的|车主说：哦|车主说：汽油泵呢|技师说：汽油泵没有坏不用更换|车主说：一般寿命多久|技师说：这个不好说，我看见用的久的20万公里以上，用的不是很长的4-5万公里|车主说：这车买什么牌子的机油好|技师说：嘉实多磁护，5-40|车主说：多少钱|技师说：350|车主说：自己去汽配城买可以吗|技师说：可以的，汽配城购买240%260|车主说：好的|车主说：防冻液两年没换可以吗|技师说：防冻液两年或者四万公里更换。你可以打开水箱盖闻闻还有没有气味，有气味可以不用更换。没有气味就需要更换|车主说：好的|车主说：买机油是要买合成机油好吧|技师说：对的。半合成，全合成都没问题的,发电机皮带一般是没有裂痕，破损不用更换，正时皮带7-8万公里更换，防止断裂，损坏发动机,,,,,,,
Q82305,福特,福克斯,12款福克斯手动舒适型的中控  仪表盘  多功能方向盘改成风尚型那样的大约多少钱啊   尊贵型的呢？？,技师说：您好，这样改装的话，费用在300-400|技师说：这是多功能方向盘的费用|车主说：一共多少钱|技师说：仪表需要2000+|车主说：中控呢？|技师说：这款车型还可以刷行车落锁的，改成风尚款还可以加装定速巡航|技师说：中控你的什么样的呢|技师说：我这边改的比较多，但是中控很少有人改|车主说：一个小屏许多按键的那种|车主说：不是彩屏|技师说：差不多2000左右|车主说：全换了差不多到5000了？|技师说：这是我们这边的价格|技师说：仪表要整换的|车主说：哦   你是哪里的？|技师说：江苏宿迁|车主说：到4S店给改吗？|技师说：4S店我们这边不给改，改的话费用不止这些|车主说：哦  年检影响吗|技师说：不影响|车主说：好的 谢谢|技师说：不用谢的|车主说：麻烦再问一下  这三个都改了跟风尚型的功能一模一样吗|技师说：一摸一样的，而且基本不破线|车主说：哦哦   谢谢啊|技师说：不用谢的,这套改下来得4000-5000这样的费用，和原车一模一样的,,,,,,,
Q52336,日产,逍客,逍客车有冷保护，能否解除。水温上来的慢是什么原因，新车。,技师说：你好，天气比较冷，这个水温上来慢是正常的，也是对发动机的一种保护|技师说：你好，冷保护现在有的车子采用不少这个技术，这个只要温度上来以后就会自动接触的，,不好意思，一直没有等到你的回复 1.这个水温上来慢是正常的，因为这个是对发动机的保护 2.冷保护这个配置现在一些车子都是采用的，水温上来以后自动就解除的,,,,,,,
